Distribuzione per classi di età ASL Roma 2

Classi età;Italiane F;Italiani M;Straniere F;Stranieri M
0-4;22905;23817;4004;4187
5-9;27039;28319;4511;4609
10-14;28765;30808;3834;4081
15-19;27819;29530;2696;3049
20-24;26633;29717;2376;3864
25-29;29377;32012;4543;5882
30-34;34095;35239;6875;7792
35-39;38838;39348;7856;9812
40-44;43839;43939;8158;9901
45-49;52129;49501;7670;7742
50-54;53469;49678;7301;5824
55-59;53430;48542;5491;3628
60-64;44958;39113;4166;2220
65-69;38090;32433;2409;1217
70-74;35692;28876;1199;620
75-79;30114;22756;545;257
80-84;28626;19132;285;134
85+;31243;15946;202;94

Fonte www.opensalutelazio.it
