Distribuzione per classi di età ASL Roma 5

Classi età;Italiane F;Italiani M;Straniere F;Stranieri M
0-4;9098;9631;1582;1707
5-9;11229;12162;1824;2071
10-14;12611;13261;1830;1905
15-19;11857;12914;1330;1464
20-24;11409;12521;1176;1614
25-29;12040;12883;1730;1856
30-34;13866;14280;2574;2728
35-39;15243;15765;3139;3444
40-44;17572;17683;3382;3665
45-49;20429;20355;3088;3063
50-54;21172;20669;2885;2596
55-59;20128;19653;1609;1340
60-64;16893;16347;1205;838
65-69;14378;13632;597;419
70-74;13082;11984;331;174
75-79;10121;8434;132;75
80-84;8825;6635;80;32
85+;9163;4765;54;25

Fonte www.opensalutelazio.it
