Distribuzione per classi di età ASL Roma 4

Classi età;Italiane F;Italiani M;Straniere F;Stranieri M
0-4;5320;5812;813;886
5-9;7184;7572;1052;1139
10-14;8033;8482;1041;1073
15-19;7741;8344;779;867
20-24;7522;8218;695;928
25-29;7418;7928;931;1063
30-34;8412;8291;1722;1528
35-39;9317;9146;1996;1825
40-44;11449;11106;2354;2218
45-49;14147;13362;2214;1922
50-54;14773;14268;2125;1683
55-59;13929;13659;1253;1013
60-64;11169;10929;948;636
65-69;9552;8927;498;316
70-74;8853;7892;276;171
75-79;7517;6251;143;70
80-84;6176;4755;92;46
85+;6146;3288;47;25

Fonte www.opensalutelazio.it
